YEAR,day_of_year,count
2015,06-15,146
2015,06-16,131
2015,06-17,141
2015,06-18,146
2015,06-19,171
2015,06-20,154
2015,06-21,110
2015,06-22,147
2015,06-23,162
2015,06-24,149
2015,06-25,175
2015,06-26,178
2015,06-27,184
2015,06-28,132
2015,06-29,145
2015,06-30,154
2015,07-01,169
2015,07-02,161
2015,07-03,156
2015,07-04,154
2015,07-05,148
2015,07-06,161
2015,07-07,153
2015,07-08,159
2015,07-09,137
2015,07-10,192
2015,07-11,146
2015,07-12,172
2015,07-13,151
2015,07-14,144
2015,07-15,171
2015,07-16,154
2015,07-17,172
2015,07-18,149
2015,07-19,153
2015,07-20,135
2015,07-21,150
2015,07-22,141
2015,07-23,175
2015,07-24,172
2015,07-25,168
2015,07-26,115
2015,07-27,172
2015,07-28,154
2015,07-29,142
2015,07-30,136
2015,07-31,170
2015,08-01,156
2015,08-02,157
2015,08-03,163
2015,08-04,166
2015,08-05,161
2015,08-06,170
2015,08-07,166
2015,08-08,159
2015,08-09,132
2015,08-10,146
2015,08-11,143
2015,08-12,148
2015,08-13,165
2015,08-14,173
2015,08-15,147
2015,08-16,124
2015,08-17,170
2015,08-18,176
2015,08-19,142
2015,08-20,159
2015,08-21,138
2015,08-22,160
2015,08-23,126
2015,08-24,150
2015,08-25,156
2015,08-26,161
2015,08-27,128
2015,08-28,157
2015,08-29,166
2015,08-30,150
2015,08-31,159
2015,09-01,157
2015,09-02,163
2015,09-03,164
2015,09-04,156
2015,09-05,145
2015,09-06,141
2015,09-07,136
2015,09-08,153
2015,09-09,153
2015,09-10,166
2015,09-11,158
2015,09-12,146
2015,09-13,138
2015,09-14,119
2015,09-15,147
2015,09-16,142
2015,09-17,152
2015,09-18,177
2015,09-19,196
2015,09-20,172
2015,09-21,163
2015,09-22,147
2015,09-23,158
2015,09-24,161
2015,09-25,173
2015,09-26,170
2015,09-27,145
2015,09-28,165
2015,09-29,136
2015,09-30,126
2015,10-01,134
2015,10-02,157
2015,10-03,144
2015,10-04,132
2015,10-05,140
2015,10-06,135
2015,10-07,167
2015,10-08,138
2015,10-09,161
2015,10-10,141
2015,10-11,155
2015,10-12,120
2015,10-13,153
2015,10-14,161
2015,10-15,162
2015,10-16,168
2015,10-17,149
2015,10-18,116
2015,10-19,111
2015,10-20,139
2015,10-21,165
2015,10-22,154
2015,10-23,177
2015,10-24,134
2015,10-25,127
2015,10-26,125
2015,10-27,142
2015,10-28,123
2015,10-29,125
2015,10-30,160
2015,10-31,165
2015,11-01,207
2015,11-02,154
2015,11-03,173
2015,11-04,160
2015,11-05,144
2015,11-06,152
2015,11-07,156
2015,11-08,141
2015,11-09,162
2015,11-10,125
2015,11-11,109
2015,11-12,173
2015,11-13,134
2015,11-14,142
2015,11-15,139
2015,11-16,125
2015,11-17,141
2015,11-18,121
2015,11-19,163
2015,11-20,172
2015,11-21,140
2015,11-22,120
2015,11-23,146
2015,11-24,105
2015,11-25,169
2015,11-26,126
2015,11-27,133
2015,11-28,148
2015,11-29,105
2015,11-30,120
2015,12-01,145
2015,12-02,148
2015,12-03,125
2015,12-04,159
2015,12-05,131
2015,12-06,146
2015,12-07,162
2015,12-08,145
2015,12-09,155
2015,12-10,142
2015,12-11,135
2015,12-12,166
2015,12-13,114
2015,12-14,139
2015,12-15,154
2015,12-16,134
2015,12-17,159
2015,12-18,184
2015,12-19,119
2015,12-20,141
2015,12-21,182
2015,12-22,152
2015,12-23,142
