YEAR,DAY_OF_WEEK,total_cases,day_count,average_cases
2016,Monday,7713,52,148.32692307692307
2016,Tuesday,7626,52,146.65384615384616
2016,Wednesday,7673,52,147.55769230769232
2016,Thursday,7655,52,147.21153846153845
2016,Friday,8058,53,152.03773584905662
2016,Saturday,7754,53,146.30188679245282
2016,Sunday,7240,52,139.23076923076923
2017,Monday,7526,52,144.73076923076923
2017,Tuesday,7714,52,148.34615384615384
2017,Wednesday,7797,52,149.94230769230768
2017,Thursday,7611,52,146.3653846153846
2017,Friday,8035,52,154.51923076923077
2017,Saturday,7783,52,149.67307692307693
2017,Sunday,7482,53,141.16981132075472
2018,Monday,7613,53,143.64150943396226
2018,Tuesday,7488,52,144.0
2018,Wednesday,7616,52,146.46153846153845
2018,Thursday,7646,52,147.03846153846155
2018,Friday,7866,52,151.26923076923077
2018,Saturday,7859,52,151.1346153846154
2018,Sunday,7123,52,136.98076923076923
2019,Monday,6783,52,130.44230769230768
2019,Tuesday,6825,53,128.77358490566039
2019,Wednesday,6701,52,128.8653846153846
2019,Thursday,6603,52,126.98076923076923
2019,Friday,7128,52,137.07692307692307
2019,Saturday,6939,52,133.44230769230768
2019,Sunday,6314,52,121.42307692307692
2020,Monday,5649,52,108.63461538461539
2020,Tuesday,5418,52,104.1923076923077
2020,Wednesday,5689,53,107.33962264150944
2020,Thursday,5540,53,104.52830188679245
2020,Friday,5844,52,112.38461538461539
2020,Saturday,5314,52,102.1923076923077
2020,Sunday,4906,52,94.34615384615384
2021,Monday,5067,52,97.4423076923077
2021,Tuesday,4832,52,92.92307692307692
2021,Wednesday,5036,52,96.84615384615384
2021,Thursday,4853,52,93.32692307692308
2021,Friday,5282,53,99.66037735849056
2021,Saturday,5198,52,99.96153846153847
2021,Sunday,4704,52,90.46153846153847
2022,Monday,5129,52,98.63461538461539
2022,Tuesday,5011,52,96.36538461538461
2022,Wednesday,5129,52,98.63461538461539
2022,Thursday,5039,52,96.90384615384616
2022,Friday,5388,52,103.61538461538461
2022,Saturday,5265,53,99.33962264150944
2022,Sunday,4580,52,88.07692307692308
2023,Monday,5537,52,106.48076923076923
2023,Tuesday,5535,52,106.4423076923077
2023,Wednesday,5505,52,105.86538461538461
2023,Thursday,5504,52,105.84615384615384
2023,Friday,5705,52,109.71153846153847
2023,Saturday,5277,52,101.48076923076923
2023,Sunday,5023,53,94.77358490566037
